target,ra,dec,phot_g_mean_mag,spType,starType
HD  27442B,64.1248,-59.3,12.481,DA3,wd
2MASS J04434646-7851503,70.9419,-78.8639,13.435,DA2.1,wd
WD 0455-282,74.3058,-28.1313,13.93,DA.8,wd
2MASS J05005185-0930549,75.2158,-9.5158,12.6,DA4.2,wd
WD 0501-289,75.9817,-28.9093,13.825,DOZ,wd
2MASS J05243627-0535103,81.1511,-5.5869,13.861,DA,wd
2MASS J05562547+0521486,89.1041,5.3593,13.967,DA8P,wd
2MASS J06161426-5912275,94.059,-59.209,13.953,DB3+,wd
WD 0621-376,95.8029,-37.6911,12.023,DA.8,wd
WD 0646-253,102.2336,-25.3962,13.632,DA1.8,wd
LAWD 25,115.0919,-17.4161,12.97,DZQA6,wd
LAWD 26,118.3012,-67.7987,13.778,DA9.0,wd
Gaia DR3 5318772982658411008,122.7387,-56.9576,13.308,,wd
2MASS J08253234-0728232,126.3845,-7.473,13.955,DA,wd
WD 0859-039,135.5721,-4.1154,13.17,DA2.1,wd
WD 0954-710,148.8436,-71.3028,13.538,DA3.4,wd
2MASS J10342703-6722392,158.6128,-67.3779,13.374,DA,wd
